OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
1,Approved,No Conditions Apply,,,Unknown,,341.494722198978
2,Approved,No Conditions Apply,DELWP,BROWNPORT ROAD,Municipal Road,CARWARP to IRAAK,1322.58316141152
3,Approved,No Conditions Apply,DELWP,LAKE PARK ROAD,Municipal Road,CULLULLERAINE,721.042802713944
4,Approved,No Conditions Apply,DELWP,RUDDS ROAD,Municipal Road,IRAAK,2213.49484767351
5,Approved,No Conditions Apply,DELWP,WERRIMULL NORTH ROAD,Municipal Road,CULLULLERAINE to WERRIMULL,1328.70712022384
6,Approved,No Conditions Apply,Department of Transport - Victoria,BENETOOK AVENUE ,Other Arterial Road,MILDURA,4943.4864310708
7,Approved,No Conditions Apply,Department of Transport - Victoria,CALDER HIGHWAY ,Arterial Highway,CARWARP to OUYEN,97908.7012593278
8,Approved,No Conditions Apply,Department of Transport - Victoria,CALDER HIGHWAY ,Arterial Highway,RED CLIFFS,2899.89667892005
9,Approved,No Conditions Apply,Department of Transport - Victoria,CALDER HIGHWAY ,Arterial Highway,RED CLIFFS to CARWARP,2561.27172888607
10,Approved,No Conditions Apply,Department of Transport - Victoria,CALDER HIGHWAY ,Arterial Highway,YELTA,398.240923199015
11,Approved,No Conditions Apply,Department of Transport - Victoria,CURLEWIS STREET ,Arterial Highway,SWAN HILL,2741.50532072174
12,Approved,No Conditions Apply,Department of Transport - Victoria,FARRELL STREET ,Arterial Highway,OUYEN,180.401776967299
13,Approved,No Conditions Apply,Department of Transport - Victoria,FIFTEENTH STREET ,Arterial Highway,IRYMPLE,1550.86783988772
14,Approved,No Conditions Apply,Department of Transport - Victoria,FIFTEENTH STREET ,Arterial Highway,IRYMPLE to RED CLIFFS,11925.3636336542
15,Approved,No Conditions Apply,Department of Transport - Victoria,FIFTEENTH STREET ,Arterial Highway,MILDURA to IRYMPLE,9373.01899416651
16,Approved,No Conditions Apply,Department of Transport - Victoria,GREGORY STREET ,Arterial Highway,OUYEN,2616.88807268179
17,Approved,No Conditions Apply,Department of Transport - Victoria,HATTAH-ROBINVALE ROAD ,Other Arterial Road,BANNERTON,7208.59539564798
18,Approved,No Conditions Apply,Department of Transport - Victoria,HATTAH-ROBINVALE ROAD ,Other Arterial Road,HATTAH to BANNERTON,59380.6692247281
19,Approved,No Conditions Apply,Department of Transport - Victoria,HUGHES STREET ,Arterial Highway,OUYEN to MANANGATANG,67394.3751882954
20,Approved,No Conditions Apply,Department of Transport - Victoria,KULKYNE WAY ,Other Arterial Road,RED CLIFFS,3388.49110289682
21,Approved,No Conditions Apply,Department of Transport - Victoria,KULKYNE WAY ,Other Arterial Road,RED CLIFFS to COLIGNAN,39013.8633171288
22,Approved,No Conditions Apply,Department of Transport - Victoria,MAIN AVENUE N,Arterial Highway,MERBEIN,1059.1509472044
23,Approved,No Conditions Apply,Department of Transport - Victoria,MAIN AVENUE S,Arterial Highway,MERBEIN to MILDURA,10737.5995155989
24,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,BOINKA,5740.82556917068
25,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,BOINKA to MURRAYVILLE,43841.9420702157
26,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,MANANGATANG,4252.39157406696
27,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,MURRAYVILLE,8606.09864729257
28,Approved,No Conditions Apply,Department of Transport - Victoria,MALLEE HIGHWAY ,Arterial Highway,MURRAYVILLE to PANITYA,17782.8984730548
